"Data","Ora","PrezzoZonale","Quantita","Prezzo"
2023-11-01,"3",50.43919,3.728,94.73
2023-11-01,"3",50.43919,10,83.46
2023-11-01,"3",50.43919,353,75.1
2023-11-01,"3",50.43919,36,75
2023-11-01,"3",50.43919,6.706,74.61
2023-11-01,"3",50.43919,2.745,72.46
2023-11-01,"3",50.43919,0.3,70.95
2023-11-01,"3",50.43919,6.587,70.09
2023-11-01,"3",50.43919,3.391,70.01
2023-11-01,"3",50.43919,11,69.93
2023-11-01,"3",50.43919,0.786,69.64
2023-11-01,"3",50.43919,13,67.93
2023-11-01,"3",50.43919,19,66.02
2023-11-01,"3",50.43919,13,65.93
2023-11-01,"3",50.43919,7.113,65.14
2023-11-01,"3",50.43919,13.158,64.67
2023-11-01,"3",50.43919,13,63.93
2023-11-01,"3",50.43919,7.9,63.64
2023-11-01,"3",50.43919,19,61.02
2023-11-01,"3",50.43919,38,56.02
2023-11-01,"3",50.43919,108.968,51.96
2023-11-01,"3",50.43919,9.904,51.94
2023-11-01,"3",50.43919,227,51.02
2023-11-01,"3",50.43919,13.216,50
2023-11-01,"3",50.43919,24.7,49.9
2023-11-01,"3",50.43919,1.429,45.12
2023-11-01,"3",50.43919,10.98,44.85
2023-11-01,"3",50.43919,63.836,44.78
2023-11-01,"3",50.43919,67.99,44.76
2023-11-01,"3",50.43919,8,44.27
2023-11-01,"3",50.43919,0.814,44.2
2023-11-01,"3",50.43919,24.958,39.31
2023-11-01,"3",50.43919,5.001,34.91
2023-11-01,"3",50.43919,9.949,34.62
2023-11-01,"3",50.43919,5.933,34.53
2023-11-01,"3",50.43919,25.635,32.38
2023-11-01,"3",50.43919,65.945,31
2023-11-01,"3",50.43919,375.715,30
2023-11-01,"3",50.43919,2.154,29.72
2023-11-01,"3",50.43919,8,25.06
2023-11-01,"3",50.43919,0.02,25
2023-11-01,"3",50.43919,20,24.95
2023-11-01,"3",50.43919,40.811,24.81
2023-11-01,"3",50.43919,8.86,24.72
2023-11-01,"3",50.43919,7,24.46
2023-11-01,"3",50.43919,36.204,24.31
2023-11-01,"3",50.43919,12.2,24.26
2023-11-01,"3",50.43919,626,20
2023-11-01,"3",50.43919,28.065,15
2023-11-01,"3",50.43919,21.71,14.66
2023-11-01,"3",50.43919,21.152,11
2023-11-01,"3",50.43919,3,10.8
2023-11-01,"3",50.43919,85,10
2023-11-01,"3",50.43919,6.6,9.9
2023-11-01,"3",50.43919,10.7,9.8
2023-11-01,"3",50.43919,7.4,9.7
2023-11-01,"3",50.43919,14.1,9.6
2023-11-01,"3",50.43919,8.5,9.5
2023-11-01,"3",50.43919,0.7,9.3
2023-11-01,"3",50.43919,66.5,9
2023-11-01,"3",50.43919,0.6,8.7
2023-11-01,"3",50.43919,3.2,8.5
2023-11-01,"3",50.43919,12.9,8
2023-11-01,"3",50.43919,10.1,7
2023-11-01,"3",50.43919,0.003,6
2023-11-01,"3",50.43919,198.505,5
2023-11-01,"3",50.43919,14.124,4.98
2023-11-01,"3",50.43919,51,4
2023-11-01,"3",50.43919,192.497,3
2023-11-01,"3",50.43919,2174.674,1
2023-11-01,"3",50.43919,52.324,0.5
2023-11-01,"3",50.43919,111,0.2
2023-11-01,"3",50.43919,26.215,0.1
2023-11-01,"3",50.43919,0.125,0.05
2023-11-01,"3",50.43919,116.606,0.01
2023-11-01,"3",50.43919,10604.42,0
2023-11-01,"3",50.43919,70.355,-0.05
2023-11-01,"3",50.43919,247.777,-0.5
2023-11-01,"3",50.43919,27.04,-0.65
2023-11-01,"3",50.43919,652.674,-1
2023-11-01,"3",50.43919,25.9,-2
2023-11-01,"3",50.43919,101.699,-5
2023-11-01,"3",50.43919,72,-5.1
2023-11-01,"3",50.43919,0.1,-9.04
2023-11-01,"3",50.43919,20.94,-10
